brand,model,type,year
Trek,1.1,Road,2017
Trek,1.1,Road,2016
Trek,1.1,Road,2015
Trek,1.1,Road,2014
Trek,1.1,Road,2013
Trek,1.1,Road,2012
Trek,1.1,Road,2011
Trek,1.1,Road,2010
Trek,1.2,Road,2017
Trek,1.2,Road,2016
Trek,1.2,Road,2015
Trek,1.2,Road,2014
Trek,1.2,Road,2013
Trek,1.2,Road,2012
Trek,1.2,Road,2011
Trek,1.2,Road,2010
Trek,1.2,Road,2009
Trek,1.2,Road,2008
Trek,1.5,Road,2015
Trek,1.5,Road,2014
Trek,1.5,Road,2013
Trek,1.5,Road,2012
Trek,1.5,Road,2011
Trek,1.5,Road,2010
Trek,1.5,Road,2009
Trek,1.5,Road,2008
Trek,2.1,Road,2012
Trek,2.1,Road,2011
Trek,2.1,Road,2010
Trek,2.1,Road,2009
Trek,2.1,Road,2008
Trek,2.3,Road,2012
Trek,2.3,Road,2011
Trek,2.3,Road,2010
Trek,2.3,Road,2009
Trek,2.3,Road,2008
Trek,320,Road,1999
Trek,420,Road,1996
Trek,520,Road,2020
Trek,520,Road,2019
Trek,520,Road,2016
Trek,520,Road,2015
Trek,520,Road,2014
Trek,520,Road,2013
Trek,520,Road,2012
Trek,520,Road,2011
Trek,520,Road,2010
Trek,520,Road,2009
Trek,520,Road,2008
Trek,520,Road,2007
Trek,520,Road,2002
Trek,520,Road,1995
Trek,520,Road,1994
Trek,520,Road,1993
Trek,700,Hybrid,1997
Trek,700,Hybrid,1993
Trek,720,Hybrid,2000
Trek,720,Hybrid,1997
Trek,720,Hybrid,1994
Trek,720,Hybrid,1993
Trek,730,Hybrid,1998
Trek,730,Hybrid,1997
Trek,730,Hybrid,1994
Trek,745,Hybrid,1998
Trek,750,Hybrid,1997
Trek,750,Hybrid,1994
Trek,750,Hybrid,1993
Trek,800,Mountain,2003
Trek,800,Mountain,2000
Trek,800,Mountain,1999
Trek,800,Mountain,1996
Trek,800,Mountain,1993
Trek,820,Mountain,2020
Trek,820,Mountain,2019
Trek,820,Mountain,2018
Trek,820,Mountain,2017
Trek,820,Mountain,2016
Trek,820,Mountain,2015
Trek,820,Mountain,2014
Trek,820,Mountain,2013
Trek,820,Mountain,2009
Trek,820,Mountain,2003
Trek,820,Mountain,2000
Trek,820,Mountain,1999
Trek,820,Mountain,1998
Trek,820,Mountain,1997
Trek,820,Mountain,1994
Trek,820,Mountain,1993
Trek,830,Mountain,1996
Trek,830,Mountain,1993
Trek,850,Mountain,1997
Trek,920,Road,2020
Trek,920,Road,2019
Trek,920,Road,2018
Trek,920,Mountain,1998
Trek,920,Mountain,1994
Trek,930,Mountain,1995
Trek,950,Mountain,1995
Trek,950,Mountain,1994
Trek,950,Mountain,1993
Trek,970,Mountain,1996
Trek,970,Mountain,1995
Trek,1000,Road,2005
Trek,1000,Road,1993
Trek,1120,Mountain,2021
Trek,1120,Mountain,2020
Trek,1120,Mountain,2019
Trek,1120,Mountain,2018
Trek,1200,Road,2006
Trek,1200,Road,1999
Trek,1220,Road,1998
Trek,1220,Road,1997
Trek,1420,Road,1993
Trek,1500,Road,2007
Trek,1500,Road,2004
Trek,1600,Road,2007
Trek,1800,Road,2004
Trek,2100,Road,2007
Trek,2100,Road,2006
Trek,2100,Road,2005
Trek,2100,Road,1993
Trek,2200,Road,2006
Trek,2200,Road,2002
Trek,2200,Road,2001
Trek,2300,Road,2005
Trek,2300,Road,2004
Trek,2300,Road,2003
Trek,2300,Road,2002
Trek,2500,Road,1999
Trek,3500,Mountain,2015
Trek,3500,Mountain,2014
Trek,3500,Mountain,2013
Trek,3500,Mountain,2012
Trek,3700,Mountain,2012
Trek,3700,Mountain,2011
Trek,3700,Mountain,2010
Trek,3700,Mountain,2005
Trek,3700,Mountain,2004
Trek,3900,Mountain,2005
